noise_type,round,max_noise,clean_score
white,4,0.3937253952026367,0.890172313556272
bitflip,4,0.12023448944091797,0.890172313556272
white,8,0.4331951141357422,0.8785248466692246
bitflip,8,0.09568214416503906,0.8785248466692246
white,12,0.42914772033691406,0.8430759876033589
bitflip,12,0.09368419647216797,0.8430759876033589
white,16,0.44233226776123047,0.8843783186520786
bitflip,16,0.10242462158203125,0.8843783186520786
white,20,0.484466552734375,1.000001336296748
bitflip,20,0.11663246154785156,1.000001336296748
white,24,0.4682350158691406,0.921666740703823
bitflip,24,0.11836814880371094,0.921666740703823
white,28,0.4583578109741211,0.9137602196429628
bitflip,28,0.10259437561035156,0.9137602196429628
white,32,0.4547290802001953,0.8906083343338616
bitflip,32,0.10054683685302734,0.8906083343338616
white,36,0.4763202667236328,0.9686653324894101
bitflip,36,0.10808563232421875,0.9686653324894101
white,40,0.48763370513916016,0.984252377957441
bitflip,40,0.10162734985351562,0.984252377957441
white,44,0.47901058197021484,0.9646203792399837
bitflip,44,0.0996541976928711,0.9646203792399837
white,48,0.45859432220458984,0.8807611310179115
bitflip,48,0.10070323944091797,0.8807611310179115
white,52,0.49449825286865234,1.0154339358878208
bitflip,52,0.10373306274414062,1.0154339358878208
white,56,0.45130062103271484,0.8856335898514818
bitflip,56,0.09816932678222656,0.8856335898514818
white,60,0.4876689910888672,0.993770344344381
bitflip,60,0.1161355972290039,0.993770344344381
white,64,0.4193153381347656,0.7652897967842578
bitflip,64,0.0932016372680664,0.7652897967842578
white,68,0.47397518157958984,0.9489182228004973
bitflip,68,0.11210441589355469,0.9489182228004973
white,72,0.4948921203613281,1.0277897556665383
bitflip,72,0.10482120513916016,1.0277897556665383
white,76,0.48317909240722656,0.9797326068464665
bitflip,76,0.10078239440917969,0.9797326068464665
white,80,0.4939451217651367,1.0189689553352028
bitflip,80,0.1127471923828125,1.0189689553352028
white,84,0.4815816879272461,0.9661152233469357
bitflip,84,0.11268329620361328,0.9661152233469357
white,88,0.46884727478027344,0.9438511690288065
bitflip,88,0.10753440856933594,0.9438511690288065
white,92,0.5100336074829102,1.1206392913144836
bitflip,92,0.10957145690917969,1.1206392913144836
white,96,0.5287075042724609,1.2324818730420521
bitflip,96,0.11542510986328125,1.2324818730420521
white,100,0.5147695541381836,1.1237838140707117
bitflip,100,0.11060428619384766,1.1237838140707117
white,104,0.4921560287475586,1.0048641741569386
bitflip,104,0.1096353530883789,1.0048641741569386
white,108,0.49160289764404297,1.0006030637534868
bitflip,108,0.10829734802246094,1.0006030637534868
white,112,0.4956674575805664,1.027328834063108
bitflip,112,0.10407066345214844,1.027328834063108
white,116,0.48846435546875,1.0132678984627237
bitflip,116,0.10754108428955078,1.0132678984627237
white,120,0.5021638870239258,1.0477552162933086
bitflip,120,0.11666107177734375,1.0477552162933086
white,124,0.49398040771484375,1.02121054069341
bitflip,124,0.10784626007080078,1.02121054069341
white,128,0.4832897186279297,0.9686214235238744
bitflip,128,0.1117095947265625,0.9686214235238744
white,132,0.4739694595336914,0.9611645515263365
bitflip,132,0.10575389862060547,0.9611645515263365
white,136,0.4780006408691406,0.9607558936418796
bitflip,136,0.10527229309082031,0.9607558936418796
white,140,0.47997093200683594,0.9510623523202302
bitflip,140,0.10172653198242188,0.9510623523202302
white,144,0.4669666290283203,0.9009782193048499
bitflip,144,0.09337520599365234,0.9009782193048499
white,148,0.4819936752319336,0.9764124626344652
bitflip,148,0.1034088134765625,0.9764124626344652
white,152,0.4871091842651367,0.9842539247624231
bitflip,152,0.10992813110351562,0.9842539247624231
white,156,0.4907550811767578,1.0104048383637727
bitflip,156,0.10888671875,1.0104048383637727
white,160,0.4965982437133789,1.0255118128126024
bitflip,160,0.10051250457763672,1.0255118128126024
white,164,0.49808692932128906,1.0392623198925566
bitflip,164,0.10306644439697266,1.0392623198925566
white,168,0.4814786911010742,0.9630299740580099
bitflip,168,0.09985828399658203,0.9630299740580099
white,172,0.4915027618408203,1.0073616328750679
bitflip,172,0.11040210723876953,1.0073616328750679
white,176,0.4748563766479492,0.951139277277079
bitflip,176,0.11210823059082031,0.951139277277079
white,180,0.4778165817260742,0.9559069960734234
bitflip,180,0.10361862182617188,0.9559069960734234
white,184,0.4931173324584961,1.0146742387300784
bitflip,184,0.1030426025390625,1.0146742387300784
white,188,0.4991474151611328,1.0512918358050398
bitflip,188,0.10483264923095703,1.0512918358050398
white,192,0.48778724670410156,1.0051050150574758
bitflip,192,0.10398483276367188,1.0051050150574758
white,196,0.4693784713745117,0.917862010261786
bitflip,196,0.1015481948852539,0.917862010261786
white,200,0.48424434661865234,0.967947053688667
bitflip,200,0.10213947296142578,0.967947053688667
white,204,0.4716796875,0.9284655424074812
bitflip,204,0.09709930419921875,0.9284655424074812
white,208,0.45968055725097656,0.9012801680189448
bitflip,208,0.09298419952392578,0.9012801680189448
white,212,0.4668750762939453,0.8999382547833117
bitflip,212,0.10360050201416016,0.8999382547833117
white,216,0.47670936584472656,0.953275576596659
bitflip,216,0.09964275360107422,0.953275576596659
white,220,0.4818887710571289,0.9632690555905117
bitflip,220,0.10045719146728516,0.9632690555905117
white,224,0.45214176177978516,0.8710414891206861
bitflip,224,0.08675193786621094,0.8710414891206861
white,228,0.46892452239990234,0.9250504728502102
bitflip,228,0.09908008575439453,0.9250504728502102
white,232,0.4805784225463867,0.95208961591341
bitflip,232,0.09914016723632812,0.95208961591341
white,236,0.4674558639526367,0.914902029635873
bitflip,236,0.09777641296386719,0.914902029635873
white,240,0.46277713775634766,0.8860890194250493
bitflip,240,0.10201549530029297,0.8860890194250493
white,244,0.4855613708496094,0.9867229717231822
bitflip,244,0.1061544418334961,0.9867229717231822
white,248,0.4535655975341797,0.8851318253729579
bitflip,248,0.09947872161865234,0.8851318253729579
white,252,0.4731311798095703,0.9426728460942744
bitflip,252,0.10146522521972656,0.9426728460942744
white,256,0.4507579803466797,0.8721504048075337
bitflip,256,0.09238719940185547,0.8721504048075337
white,260,0.48203182220458984,0.9776375843802851
bitflip,260,0.10198688507080078,0.9776375843802851
white,264,0.4662609100341797,0.8998219460917438
bitflip,264,0.08763790130615234,0.8998219460917438
white,268,0.46807384490966797,0.9085547382020209
bitflip,268,0.09319400787353516,0.9085547382020209
white,272,0.4689512252807617,0.9037107318449666
bitflip,272,0.10281944274902344,0.9037107318449666
white,276,0.4977455139160156,1.0327301182697854
bitflip,276,0.11733245849609375,1.0327301182697854
white,280,0.4871559143066406,1.015454509896389
bitflip,280,0.11801528930664062,1.015454509896389
white,284,0.45859432220458984,0.912051731484901
bitflip,284,0.0953521728515625,0.912051731484901
white,288,0.46663761138916016,0.9158079309316136
bitflip,288,0.09469413757324219,0.9158079309316136
white,292,0.48456764221191406,0.962310438135273
bitflip,292,0.10051345825195312,0.962310438135273
white,296,0.46190834045410156,0.8813230273594921
bitflip,296,0.10689640045166016,0.8813230273594921
