p_noise,trace_witness,label,round
0.0,-1.8296915556794362,1,4
0.5,1.1269375052489816,-1,4
0.25,-0.35137702521522773,1,4
0.375,0.3877802400168768,-1,4
0.3125,0.018201607400824826,-1,4
0.28125,-0.16658770890720145,1,4
0.296875,-0.07419305075318844,1,4
0.3046875,-0.027995721676181973,1,4
0.30859375,-0.004897057137678684,1,4
0.310546875,0.00665227513157296,-1,4
0.3095703125,0.0008776089969470546,-1,4
0.30908203125,-0.0020097240703656483,1,4
0.309326171875,-0.0005660575367092968,1,4
0.3094482421875,0.00015577573011893442,-1,4
0.30938720703125,-0.00020514090329504242,1,4
0.309417724609375,-2.4682586588109512e-05,1,4
0.3094329833984375,6.554657176544021e-05,-1,4
0.30942535400390625,2.0431992588554326e-05,-1,4
0.3094215393066406,-2.125296999555548e-06,1,4
0.30942344665527344,9.153347794443878e-06,-1,4
0.30942249298095703,3.514025397055587e-06,-1,4
0.30942201614379883,6.943641987500193e-07,-1,4
0.0,-1.7815087856239595,1,8
0.5,1.1396303643534025,-1,8
0.25,-0.32093921063527847,1,8
0.375,0.4093455768590618,-1,8
0.3125,0.04420318311189189,-1,8
0.28125,-0.13836801376169341,1,8
0.296875,-0.04708241532490087,1,8
0.3046875,-0.001439616106504532,1,8
0.30859375,0.021381783502693624,-1,8
0.306640625,0.009971083698094435,-1,8
0.3056640625,0.004265733795794896,-1,8
0.30517578125,0.001413058844645293,-1,8
0.304931640625,-1.327863092975834e-05,1,8
0.3050537109375,0.0006998901068577812,-1,8
0.30499267578125,0.0003433057379640947,-1,8
0.304962158203125,0.0001650135535169739,-1,8
0.3049468994140625,7.586746129367716e-05,-1,8
0.30493927001953125,3.12944151819039e-05,-1,8
0.3049354553222656,9.007892126045025e-06,-1,8
0.3049335479736328,-2.1353694018289016e-06,1,8
0.3049345016479492,3.4362613618166282e-06,-1,8
0.304934024810791,6.504459802714191e-07,-1,8
0.0,-1.734647646786183,1,12
0.5,1.2858419874349933,-1,12
0.25,-0.22440282967559497,1,12
0.375,0.5307195788796991,-1,12
0.3125,0.15315837460205214,-1,12
0.28125,-0.035622227536771384,1,12
0.296875,0.05876807353264023,-1,12
0.2890625,0.011572922997934415,-1,12
0.28515625,-0.012024652269418429,1,12
0.287109375,-0.0002258646357420624,1,12
0.2880859375,0.005673529181096176,-1,12
0.28759765625,0.002723832272677057,-1,12
0.287353515625,0.0012489838184676083,-1,12
0.2872314453125,0.0005115595913627868,-1,12
0.28717041015625,0.00014284747781040386,-1,12
0.287139892578125,-4.15085789659958e-05,1,12
0.2871551513671875,5.0669449422155455e-05,-1,12
0.28714752197265625,4.580435228274116e-06,-1,12
0.2871437072753906,-1.8464071868853904e-05,1,12
0.28714561462402344,-6.941818320158055e-06,1,12
0.28714656829833984,-1.1806915462958534e-06,1,12
0.28714704513549805,1.699871841190359e-06,-1,12
0.0,-0.7227476548721367,1,16
0.5,2.2594449369713843,-1,16
0.25,0.7683486410496235,-1,16
0.125,0.0228004930887436,-1,16
0.0625,-0.3499735808916965,1,16
0.09375,-0.1635865439014767,1,16
0.109375,-0.0703930254063666,1,16
0.1171875,-0.023796266158811474,1,16
0.12109375,-0.0004978865350340478,1,16
0.123046875,0.01115130327685493,-1,16
0.1220703125,0.005326708370910371,-1,16
0.12158203125,0.002414410917938148,-1,16
0.121337890625,0.0009582621914520639,-1,16
0.1212158203125,0.00023018782820921624,-1,16
0.12115478515625,-0.00013384935341256843,1,16
0.121185302734375,4.8169237398254516e-05,-1,16
0.1211700439453125,-4.284005800719859e-05,1,16
0.12117767333984375,2.6645896955834747e-06,-1,16
0.12117385864257812,-2.0087734155682657e-05,1,16
0.12117576599121094,-8.711572230007958e-06,1,16
0.12117671966552734,-3.0234912672677527e-06,1,16
0.12117719650268555,-1.7945078592540575e-07,1,16
0.0,-2.6605674257852323,1,20
0.5,0.3441270611102888,-1,20
0.25,-1.1582201823374718,1,20
0.375,-0.40704656061359157,1,20
0.4375,-0.03145974975165122,1,20
0.46875,0.15633365567931878,-1,20
0.453125,0.062436952963833725,-1,20
0.4453125,0.015488601606091168,-1,20
0.44140625,-0.007985574072780055,1,20
0.443359375,0.0037515137666553344,-1,20
0.4423828125,-0.002117030153062416,1,20
0.44287109375,0.0008172418067966536,-1,20
0.442626953125,-0.0006498941731330476,1,20
0.4427490234375,8.367381683183073e-05,-1,20
0.44268798828125,-0.00028311017815041417,1,20
0.442718505859375,-9.971818065923621e-05,1,20
0.4427337646484375,-8.022181913536208e-06,1,20
0.44274139404296875,3.7825817458925215e-05,-1,20
0.4427375793457031,1.4901817772638992e-05,-1,20
0.4427356719970703,3.4398179297734366e-06,-1,20
0.4427347183227539,-2.2911819922422083e-06,1,20
0.4427351951599121,5.743179686823474e-07,-1,20
0.0,-2.826094861047129,1,24
0.5,0.2795376899138331,-1,24
0.25,-1.2732785855666477,1,24
0.375,-0.4968704478264073,1,24
0.4375,-0.10866637895628711,1,24
0.46875,0.08543565547877302,-1,24
0.453125,-0.01161536173875699,1,24
0.4609375,0.036910146870007876,-1,24
0.45703125,0.012647392565625581,-1,24
0.455078125,0.0005160154134342121,-1,24
0.4541015625,-0.005549673162661417,1,24
0.45458984375,-0.0025168288746136858,1,24
0.454833984375,-0.001000406730589487,1,24
0.4549560546875,-0.0002421956585777485,1,24
0.45501708984375,0.00013690987742831506,-1,24
0.454986572265625,-5.2642890574716716e-05,1,24
0.4550018310546875,4.213349342668815e-05,-1,24
0.45499420166015625,-5.254698574042038e-06,1,24
0.4549980163574219,1.843939742618428e-05,-1,24
0.45499610900878906,6.5923494258490756e-06,-1,24
0.45499515533447266,6.688254263198523e-07,-1,24
0.45499467849731445,-2.2929365739443597e-06,1,24
0.0,-0.3888181836102269,1,28
0.5,2.7535665251095294,-1,28
0.25,1.182374170749651,-1,28
0.125,0.3967779935697119,-1,28
0.0625,0.00397990497974246,-1,28
0.03125,-0.1924191393152422,1,28
0.046875,-0.09421961716774988,1,28
0.0546875,-0.04511985609400365,1,28
0.05859375,-0.020569975557130638,1,28
0.060546875,-0.008295035288694158,1,28
0.0615234375,-0.002157565154475627,1,28
0.06201171875,0.000911169912633264,-1,28
0.061767578125,-0.0006231976209211676,1,28
0.0618896484375,0.0001439861458562841,-1,28
0.06182861328125,-0.00023960573753256664,1,28
0.061859130859375,-4.780979583829392e-05,1,28
0.0618743896484375,4.8088175008786926e-05,-1,28
0.06186676025390625,1.3918958530201309e-07,-1,28
0.061862945556640625,-2.383530312652371e-05,1,28
0.06186485290527344,-1.1848056770624726e-05,1,28
0.061865806579589844,-5.854433592550334e-06,1,28
0.06186628341674805,-2.857622003860083e-06,1,28
0.0,-2.181432458022216,1,32
0.5,0.8400557886062232,-1,32
0.25,-0.6706883347079964,1,32
0.375,0.0846837269491135,-1,32
0.3125,-0.2930023038794414,1,32
0.34375,-0.10415928846516409,1,32
0.359375,-0.009737780758025366,1,32
0.3671875,0.03747297309554397,-1,32
0.36328125,0.01386759616875944,-1,32
0.361328125,0.0020649077053670334,-1,32
0.3603515625,-0.003836436526329083,1,32
0.36083984375,-0.0008857644104810214,1,32
0.361083984375,0.0005895716474428395,-1,32
0.3609619140625,-0.00014809638151901117,1,32
0.36102294921875,0.00022073763296187598,-1,32
0.360992431640625,3.632062572153649e-05,-1,32
0.3609771728515625,-5.588787789884142e-05,1,32
0.36098480224609375,-9.783626088763486e-06,1,32
0.3609886169433594,1.3268499816379564e-05,-1,32
0.36098670959472656,1.7424368639468168e-06,-1,32
0.36098575592041016,-4.020594612477724e-06,1,32
0.36098623275756836,-1.139078874293209e-06,1,32
0.0,-2.9614301029979937,1,36
0.5,0.14739562057838662,-1,36
0.25,-1.4070172412098034,1,36
0.375,-0.6298108103157085,1,36
0.4375,-0.2412075948686609,1,36
0.46875,-0.04690598714513722,1,36
0.484375,0.050244816716624785,-1,36
0.4765625,0.001669414785743728,-1,36
0.47265625,-0.0226182861796968,1,36
0.474609375,-0.01047443569697648,1,36
0.4755859375,-0.004402510455616349,1,36
0.47607421875,-0.0013665478349362825,1,36
0.476318359375,0.00015143347540358398,-1,36
0.4761962890625,-0.0006075571797660717,1,36
0.47625732421875,-0.00022806185218138264,1,36
0.476287841796875,-3.831418838884382e-05,1,36
0.4763031005859375,5.6559643507481105e-05,-1,36
0.47629547119140625,9.122727559429666e-06,-1,36
0.4762916564941406,-1.4595730414845853e-05,1,36
0.47629356384277344,-2.736501427735849e-06,1,36
0.47629451751708984,3.193113065957931e-06,-1,36
0.47629404067993164,2.2830581913879655e-07,-1,36
0.0,-2.0977320110900926,1,40
0.5,0.7601153907018514,-1,40
0.25,-0.6688083101941203,1,40
0.375,0.04565354025386539,-1,40
0.3125,-0.3115773849701276,1,40
0.34375,-0.13296192235813095,1,40
0.359375,-0.04365419105213278,1,40
0.3671875,0.000999674600866307,-1,40
0.36328125,-0.021327258225633083,1,40
0.365234375,-0.010163791812383416,1,40
0.3662109375,-0.004582058605758471,1,40
0.36669921875,-0.0017911920024459849,1,40
0.366943359375,-0.0003957587007898389,1,40
0.3670654296875,0.0003019579500382896,-1,40
0.36700439453125,-4.690037537574687e-05,1,40
0.367034912109375,0.0001275287873310771,-1,40
0.3670196533203125,4.0314205977748374e-05,-1,40
0.36701202392578125,-3.293084699013127e-06,1,40
0.3670158386230469,1.85105606395064e-05,-1,40
0.36701393127441406,7.608737970093982e-06,-1,40
0.36701297760009766,2.1578266354571607e-06,-1,40
0.36701250076293945,-5.676290316114496e-07,1,40
0.0,-0.059593487037391715,1,44
0.5,2.6279690756974703,-1,44
0.25,1.2841877943300393,-1,44
0.125,0.6122971536463238,-1,44
0.0625,0.27635183330446605,-1,44
0.03125,0.10837917313353715,-1,44
0.015625,0.024392843048072703,-1,44
0.0078125,-0.01760032199465949,1,44
0.01171875,0.0033962605267065897,-1,44
0.009765625,-0.007102030733976444,1,44
0.0107421875,-0.0018528851036349256,1,44
0.01123046875,0.0007716877115358373,-1,44
0.010986328125,-0.000540598696049558,1,44
0.0111083984375,0.00011554450774316216,-1,44
0.01104736328125,-0.00021252709415317192,1,44
0.011077880859375,-4.849129320502049e-05,1,44
0.0110931396484375,3.352660726903961e-05,-1,44
0.01108551025390625,-7.48234296799391e-06,1,44
0.011089324951171875,1.3022132150562749e-05,-1,44
0.011087417602539062,2.7698945912965622e-06,-1,44
0.011086463928222656,-2.3562241883642865e-06,1,44
0.01108694076538086,2.0683520147307677e-07,-1,44
0.0,-2.159484686002034,1,48
0.5,0.5877380894157446,-1,48
0.25,-0.7858732982931449,1,48
0.375,-0.09906760443870027,1,48
0.4375,0.24433524248852234,-1,48
0.40625,0.07263381902491095,-1,48
0.390625,-0.013216892706894579,1,48
0.3984375,0.029708463159008158,-1,48
0.39453125,0.00824578522605679,-1,48
0.392578125,-0.002485553740418922,1,48
0.3935546875,0.002880115742819045,-1,48
0.39306640625,0.00019728100119981162,-1,48
0.392822265625,-0.0011441363696096385,1,48
0.3929443359375,-0.00047342768420477466,1,48
0.39300537109375,-0.00013807334150223172,1,48
0.393035888671875,2.9603829848900975e-05,-1,48
0.3930206298828125,-5.423475582677639e-05,1,48
0.39302825927734375,-1.2315462989076487e-05,1,48
0.3930320739746094,8.644183429773467e-06,-1,48
0.39303016662597656,-1.8356397797347768e-06,1,48
0.39303112030029297,3.404271825213634e-06,-1,48
0.39303064346313477,7.843160228504509e-07,-1,48
0.0,-1.8147070143523312,1,52
0.5,0.8855621998191263,-1,52
0.25,-0.4645724072666028,1,52
0.375,0.2104948962762618,-1,52
0.3125,-0.1270387554951704,1,52
0.34375,0.04172807039054563,-1,52
0.328125,-0.04265534255231229,1,52
0.3359375,-0.0004636360808834006,1,52
0.33984375,0.020632217154831045,-1,52
0.337890625,0.010084290536973906,-1,52
0.3369140625,0.004810327228045336,-1,52
0.33642578125,0.002173345573580926,-1,52
0.336181640625,0.0008548547463489431,-1,52
0.3360595703125,0.0001956093327327435,-1,52
0.33599853515625,-0.00013401337407537017,1,52
0.336029052734375,3.079797932878381e-05,-1,52
0.3360137939453125,-5.160769737336257e-05,1,52
0.33602142333984375,-1.0404859022289381e-05,1,52
0.3360252380371094,1.0196560153358236e-05,-1,52
0.33602333068847656,-1.0414943446557245e-07,1,52
0.33602428436279297,5.046205359265921e-06,-1,52
0.33602380752563477,2.471027962414052e-06,-1,52
0.0,-1.054522801778594,1,56
0.5,1.5230927845081117,-1,56
0.25,0.23428499136475872,-1,56
0.125,-0.4101189052069176,1,56
0.1875,-0.08791695692107955,1,56
0.21875,0.07318401722183965,-1,56
0.203125,-0.007366469849619778,1,56
0.2109375,0.03290877368610992,-1,56
0.20703125,0.0127711519182451,-1,56
0.205078125,0.00270234103431255,-1,56
0.2041015625,-0.0023320644076534752,1,56
0.20458984375,0.00018513831332939157,-1,56
0.204345703125,-0.0010734630471620765,1,56
0.2044677734375,-0.0004441623669163425,1,56
0.20452880859375,-0.00012951202679338525,1,56
0.204559326171875,2.781314326806561e-05,-1,56
0.2045440673828125,-5.084944176241002e-05,1,56
0.20455169677734375,-1.1518149247213838e-05,1,56
0.20455551147460938,8.147497010363436e-06,-1,56
0.20455360412597656,-1.685326118563979e-06,1,56
0.20455455780029297,3.231085446003812e-06,-1,56
0.20455408096313477,7.728796638101221e-07,-1,56
0.0,-0.47331959655061173,1,60
0.5,2.2366207424366578,-1,60
0.25,0.8816505729430228,-1,60
0.125,0.20416548819620553,-1,60
0.0625,-0.13457705417720317,1,60
0.09375,0.03479421700950125,-1,60
0.078125,-0.049891418583851044,1,60
0.0859375,-0.007548600787174953,1,60
0.08984375,0.013622808111162954,-1,60
0.087890625,0.0030371036619941116,-1,60
0.0869140625,-0.0022557485625903095,1,60
0.08740234375,0.00039067754970195656,-1,60
0.087158203125,-0.000932535506444232,1,60
0.0872802734375,-0.000270928978371221,1,60
0.08734130859375,5.987428566556208e-05,-1,60
0.087310791015625,-0.00010552734635288497,1,60
0.0873260498046875,-2.2826530343855733e-05,1,60
0.08733367919921875,1.8523877660658883e-05,-1,60
0.08732986450195312,-2.1513263415151584e-06,1,60
0.08733177185058594,8.186275659793907e-06,-1,60
0.08733081817626953,3.017474659139374e-06,-1,60
0.08733034133911133,4.33074158867619e-07,-1,60
0.0,-1.98646989219045,1,64
0.5,0.6982186925183286,-1,64
0.25,-0.6441255998360605,1,64
0.375,0.02704654634113407,-1,64
0.3125,-0.3085395267474632,1,64
0.34375,-0.1407464902031646,1,64
0.359375,-0.05684997193101532,1,64
0.3671875,-0.01490171279494068,1,64
0.37109375,0.006072416773096667,-1,64
0.369140625,-0.0044146480109218955,1,64
0.3701171875,0.0008288843810873026,-1,64
0.36962890625,-0.0017928818149173797,1,64
0.369873046875,-0.0004819987169148998,1,64
0.3699951171875,0.00017344283208614586,-1,64
0.36993408203125,-0.0001542779424142382,1,64
0.369964599609375,9.582444835787296e-06,-1,64
0.3699493408203125,-7.234774878922545e-05,1,64
0.36995697021484375,-3.1382651976497034e-05,1,64
0.3699607849121094,-1.0900103570632425e-05,1,64
0.3699626922607422,-6.588293672282752e-07,1,64
0.3699636459350586,4.4618077343350215e-06,-1,64
0.3699631690979004,1.9014891835533732e-06,-1,64
0.0,-1.6815856660598767,1,68
0.5,0.9743898507955377,-1,68
0.25,-0.35359790763216936,1,68
0.375,0.3103959715816842,-1,68
0.3125,-0.02160096802524253,1,68
0.34375,0.1443975017782207,-1,68
0.328125,0.06139826687648897,-1,68
0.3203125,0.019898649425623305,-1,68
0.31640625,-0.0008511592998097228,1,68
0.318359375,0.009523745062906985,-1,68
0.3173828125,0.004336292881548409,-1,68
0.31689453125,0.0017425667908694265,-1,68
0.316650390625,0.00044570374552987957,-1,68
0.3165283203125,-0.00020272777713997714,1,68
0.31658935546875,0.00012148798419503448,-1,68
0.316558837890625,-4.061989647247133e-05,1,68
0.3165740966796875,4.04340438613926e-05,-1,68
0.31656646728515625,-9.292630548385361e-08,1,68
0.3165702819824219,2.0170558777954373e-05,-1,68
0.31656837463378906,1.0038816236124237e-05,-1,68
0.31656742095947266,4.972944965431214e-06,-1,68
0.31656694412231445,2.440009329918169e-06,-1,68
0.0,-0.21106876229432514,1,72
0.5,2.433870126179147,-1,72
0.25,1.111400681942411,-1,72
0.125,0.45016595982404284,-1,72
0.0625,0.11954859876485882,-1,72
0.03125,-0.0457600817647332,1,72
0.046875,0.03689425850006277,-1,72
0.0390625,-0.00443291163233513,1,72
0.04296875,0.01623067343386396,-1,72
0.041015625,0.00589888090076435,-1,72
0.0400390625,0.0007329846342146173,-1,72
0.03955078125,-0.001849963499060206,1,72
0.039794921875,-0.0005584894324229366,1,72
0.0399169921875,8.724760089592366e-05,-1,72
0.03985595703125,-0.0002356209157634761,1,72
0.039886474609375,-7.418665743382305e-05,1,72
0.0399017333984375,6.530471731054643e-06,-1,72
0.03989410400390625,-3.3828092851278385e-05,1,72
0.039897918701171875,-1.3648810560071972e-05,1,72
0.03989982604980469,-3.559169414604074e-06,1,72
0.039900779724121094,1.4856511582252846e-06,-1,72
0.03990030288696289,-1.0367591281625066e-06,1,72
0.0,-1.6040606032904108,1,76
0.5,1.1027214534667875,-1,76
0.25,-0.2506695749118115,1,76
0.375,0.42602593927748816,-1,76
0.3125,0.0876781821828384,-1,76
0.28125,-0.08149569636448656,1,76
0.296875,0.0030912429091758814,-1,76
0.2890625,-0.03920222672765536,1,76
0.29296875,-0.018055491909239663,1,76
0.294921875,-0.007482124500031939,1,76
0.2958984375,-0.0021954407954280775,1,76
0.29638671875,0.0004479010568738742,-1,76
0.296142578125,-0.0008737698692770496,1,76
0.2962646484375,-0.00021293440620162585,1,76
0.29632568359375,0.00011748332533623174,-1,76
0.296295166015625,-4.772554043255828e-05,1,76
0.2963104248046875,3.487889245178122e-05,-1,76
0.29630279541015625,-6.423323990437102e-06,1,76
0.2963066101074219,1.4227784230651241e-05,-1,76
0.29630470275878906,3.902230120145234e-06,-1,76
0.29630374908447266,-1.2605469352083842e-06,1,76
0.29630422592163086,1.3208415926141415e-06,-1,76
0.0,-2.3264852974990067,1,80
0.5,0.35491961367619296,-1,80
0.25,-0.9857828419114072,1,80
0.375,-0.31543161411760673,1,80
0.4375,0.019743999779293198,-1,80
0.40625,-0.14784380716915702,1,80
0.421875,-0.0640499036949318,1,80
0.4296875,-0.022152951957819356,1,80
0.43359375,-0.0012044760892632733,1,80
0.435546875,0.009269761845014934,-1,80
0.4345703125,0.004032642877875969,-1,80
0.43408203125,0.0014140833943061537,-1,80
0.433837890625,0.00010480365252152346,-1,80
0.4337158203125,-0.0005498362183707917,1,80
0.43377685546875,-0.0002225162829245786,1,80
0.433807373046875,-5.8856315201472054e-05,1,80
0.4338226318359375,2.2973668659997948e-05,-1,80
0.43381500244140625,-1.7941323270598275e-05,1,80
0.4338188171386719,2.5161726946443252e-06,-1,80
0.43381690979003906,-7.712575288087997e-06,1,80
0.43381786346435547,-2.5982012965553025e-06,1,80
0.43381834030151367,-4.1014300955488636e-08,1,80
0.0,-0.9402884021291094,1,84
0.5,1.520506588943109,-1,84
0.25,0.2901090934070001,-1,84
0.125,-0.32508965436105464,1,84
0.1875,-0.017490280477027303,1,84
0.21875,0.13630940646498627,-1,84
0.203125,0.059409562993979426,-1,84
0.1953125,0.020959641258476075,-1,84
0.19140625,0.0017346803907242747,-1,84
0.189453125,-0.007877800043151417,1,84
0.1904296875,-0.0030715598262136823,1,84
0.19091796875,-0.0006684397177447177,1,84
0.191162109375,0.0005331203364899173,-1,84
0.1910400390625,-6.765969062724753e-05,1,84
0.19110107421875,0.00023273032293097407,-1,84
0.191070556640625,8.253531615184939e-05,-1,84
0.1910552978515625,7.437812762300933e-06,-1,84
0.19104766845703125,-3.0110938932542686e-05,1,84
0.19105148315429688,-1.1336563085273532e-05,1,84
0.1910533905029297,-1.9493751613752774e-06,1,84
0.1910543441772461,2.7442188004211943e-06,-1,84
0.1910538673400879,3.9742181948132504e-07,-1,84
